iter	Passed	Remaining
813	2157	492
814	2159	490
815	2161	487
816	2163	484
817	2166	481
818	2168	479
819	2170	476
820	2172	473
821	2175	471
822	2177	468
823	2180	465
824	2183	463
825	2185	460
826	2187	457
827	2189	454
828	2192	452
829	2194	449
830	2197	446
831	2199	444
832	2201	441
833	2204	438
834	2206	436
835	2208	433
836	2211	430
837	2213	427
838	2215	425
839	2218	422
840	2221	419
841	2223	417
842	2225	414
843	2227	411
844	2229	409
845	2232	406
846	2234	403
847	2237	400
848	2239	398
849	2241	395
850	2244	392
851	2246	390
852	2248	387
853	2250	384
854	2252	382
855	2255	379
856	2257	376
857	2259	373
858	2262	371
859	2264	368
860	2268	366
861	2270	363
862	2273	360
863	2275	358
864	2278	355
865	2281	352
866	2283	350
867	2286	347
868	2289	345
869	2292	342
870	2294	339
871	2297	337
872	2300	334
873	2303	332
874	2305	329
875	2308	326
876	2310	324
877	2313	321
878	2315	318
879	2318	316
880	2320	313
881	2323	310
882	2326	308
883	2328	305
884	2330	302
885	2333	300
886	2335	297
887	2338	294
888	2340	292
889	2343	289
890	2345	286
891	2347	284
892	2350	281
893	2352	278
894	2355	276
895	2357	273
896	2360	271
897	2362	268
898	2365	265
899	2367	263
900	2369	260
901	2372	257
902	2374	255
903	2376	252
904	2379	249
905	2382	247
906	2384	244
907	2386	241
908	2389	239
909	2391	236
910	2393	233
911	2396	231
912	2398	228
913	2401	225
914	2403	223
915	2406	220
916	2408	218
917	2410	215
918	2413	212
919	2415	210
920	2417	207
921	2420	204
922	2422	202
923	2425	199
924	2427	196
925	2430	194
926	2432	191
927	2435	188
928	2437	186
929	2440	183
930	2442	181
931	2444	178
932	2447	175
933	2449	173
934	2452	170
935	2454	167
936	2456	165
937	2458	162
938	2461	159
939	2463	157
940	2466	154
941	2468	151
942	2470	149
943	2472	146
944	2475	144
945	2478	141
946	2480	138
947	2483	136
948	2485	133
949	2487	130
950	2489	128
951	2492	125
952	2495	123
953	2498	120
954	2500	117
955	2503	115
956	2506	112
957	2508	109
958	2511	107
959	2514	104
960	2516	102
961	2519	99
962	2521	96
963	2524	94
964	2526	91
965	2528	89
966	2531	86
967	2533	83
968	2536	81
969	2538	78
970	2540	75
971	2542	73
972	2544	70
973	2547	68
974	2549	65
975	2552	62
976	2554	60
977	2556	57
978	2559	54
979	2562	52
980	2564	49
981	2567	47
982	2569	44
983	2572	41
984	2574	39
985	2577	36
986	2579	33
987	2582	31
988	2584	28
989	2586	26
990	2589	23
991	2591	20
992	2593	18
993	2596	15
994	2598	13
995	2600	10
996	2603	7
997	2605	5
998	2607	2
999	2610	0
